,x
1,0.074550129
2,0.055698372
3,0.084832905
4,0.061696658
5,0.042844901
6,0.092544987
7,0.072836332
8,0.091688089
9,0.120822622
10,0.092544987
11,0.101113967
12,0.162810626
13,0.167095116
14,0.176520994
15,0.206512425
16,0.231362468
17,0.167952014
18,0.144815767
19,0.139674379
20,0.124250214
21,0.159383033
22,0.142245073
23,0.139674379
24,0.179948586
25,0.194515853
26,0.201371037
27,0.245929734
28,0.252784919
29,0.258783205
30,0.301628106
31,0.309340189
32,0.303341902
33,0.336760925
34,0.329048843
35,0.312767781
36,0.329905741
37,0.333333333
38,0.313624679
39,0.344473008
40,0.346186804
41,0.335904027
42,0.349614396
43,0.345329906
44,0.341902314
45,0.358183376
46,0.359040274
47,0.340188518
48,0.355612682
49,0.363324764
50,0.3479006
51,0.371036847
52,0.370179949
53,0.36075407
54,0.373607541
55,0.375321337
56,0.35646958
57,0.372750643
58,0.381319623
59,0.369323051
60,0.378748929
61,0.379605827
62,0.363324764
63,0.370179949
64,0.391602399
65,0.364181662
66,0.378748929
67,0.385604113
68,0.359897172
69,0.377892031
70,0.377892031
71,0.36503856
72,0.380462725
73,0.387317909
74,0.371893745
75,0.381319623
76,0.405312768
77,0.377892031
78,0.386461011
79,0.40445587
80,0.387317909
81,0.399314482
82,0.442159383
83,0.415595544
84,0.419880034
85,0.449871465
86,0.463581834
87,0.484147386
88,0.481576692
89,0.491859469
90,0.488431877
91,0.401885176
92,0.354755784
93,0.357326478
94,0.369323051
95,0.346186804
96,0.349614396
97,0.358183376
98,0.34361611
99,0.345329906
100,0.363324764
101,0.340188518
102,0.335047129
103,0.35218509
104,0.335047129
105,0.3479006
106,0.359040274
107,0.341045416
108,0.33933162
109,0.357326478
110,0.353898886
111,0.346186804
112,0.362467866
113,0.351328192
114,0.353041988
115,0.36503856
116,0.35646958
117,0.349614396
118,0.357326478
119,0.227934876
120,0.269065981
121,0.705227078
122,1.334190231
123,1.371893745
124,0.942587832
125,0.658954584
126,0.480719794
127,0.384747215
128,0.305912596
129,0.24764353
130,0.257926307
131,0.236503856
132,0.22193659
133,0.232219366
134,0.221079692
135,0.205655527
136,0.221079692
137,0.217652099
138,0.207369323
139,0.222793488
140,0.220222793
141,0.203941731
142,0.236503856
143,0.23479006
144,0.216795201
145,0.241645244
146,0.241645244
147,0.23479006
148,0.244215938
149,0.240788346
150,0.232219366
151,0.245072836
152,0.241645244
153,0.233933162
154,0.264781491
155,0.286203942
156,0.284490146
157,0.346186804
158,0.347043702
159,0.335904027
160,0.378748929
161,0.407026564
162,0.413881748
163,0.449871465
164,0.470437018
165,0.470437018
166,0.402742074
167,0.378748929
168,0.3479006
169,0.382176521
170,0.369323051
171,0.349614396
172,0.364181662
173,0.373607541
174,0.358183376
175,0.362467866
176,0.379605827
177,0.344473008
178,0.365895458
179,0.376178235
180,0.351328192
181,0.371893745
182,0.371893745
183,0.347043702
184,0.366752356
185,0.384747215
186,0.348757498
187,0.372750643
188,0.383890317
189,0.367609254
190,0.382176521
191,0.391602399
192,0.378748929
193,0.384747215
194,0.383033419
195,0.387317909
196,0.375321337
197,0.405312768
198,0.381319623
199,0.40017138
200,0.424164524
201,0.386461011
202,0.389031705
203,0.425021422
204,0.398457584
205,0.40017138
206,0.424164524
207,0.413881748
208,0.402742074
209,0.426735219
210,0.395886889
211,0.410454156
212,0.438731791
213,0.401028278
